SGPR25_COD_DISTRI_PK,SGPR25_CODI_CAN,SGPR25_NOMBRE
1770,322,San José
1771,322,Concepción
1772,322,San Francisco
1773,323,San Pablo
1774,323,Rincón De Sabanilla
1775,324,San Rafael
1776,324,San Josecito
1777,324,Santiago
1778,324,Los Angeles
1779,324,Concepción
1780,325,Santa Bárbara
1781,325,San Pedro
1782,325,San Juan
1783,325,Jesús
1784,325,Santo Domingo
1785,325,Purabá
1786,326,Santo Domingo
1787,326,San Vicente
1788,326,San Miguel
1789,326,Paracito
1790,326,Santo Tomás
1791,326,Santa Rosa
1792,326,Tures
1793,326,Pará
1794,327,Puerto Viejo
1795,327,La Virgen
1796,327,Horquetas
1797,327,Llanuras Del Gaspar
1798,327,Cureña
1799,328,Las Juntas
1800,328,Sierra
1801,328,San Juan
1802,328,Colorado
1803,329,Bagaces
1804,329,Fortuna
1805,329,Mogote
1806,329,Río Naranjo
1807,330,Cañas
1808,330,Palmira
1809,330,San Miguel
1810,330,Bebedero
1811,330,Porosal
1812,331,Filadelfia
1813,331,Palmira
1814,331,Sardinal
1815,331,Belén
1816,332,Hojancha
1817,332,Monte Romo
1818,332,Puerto Carrillo
1819,332,Huacas
1820,333,La Cruz
1821,333,Santa Cecilia
1822,333,La Garita
1823,333,Santa Elena
1824,334,Liberia
1825,334,Cañas Dulces
1826,334,Mayorga
1827,334,Nacascolo
1828,334,Curubandé
1829,335,Carmona
1830,335,San Rita
1831,335,Zapotal
1832,335,San Pablo
1833,335,Porvenir
1834,335,Bejuco
1835,336,Nicoya
1836,336,Mansión
1837,336,San Antonio
1838,336,Quebrada Honda
1839,336,Sámara
1840,336,Nosara
1841,336,Belén De Nosarita
1842,337,Santa Cruz
1843,337,Bolsón
1844,337,27 DeAbril
1845,337,Tempate
1846,337,Cartagena
1847,337,Cuajiniquil
1848,337,Diría
1849,337,Cabo Velas
1850,337,Tamarindo
1851,338,Tilarán
1852,338,Quebrada Grande
1853,338,Tronadora
1854,338,Santa Rosa
1855,338,Líbano
1856,338,Tierras Morenas
1857,338,Arenal
1858,339,Quepos
1859,339,Savegre
1860,339,Naranjo
1861,340,Buenos Aires
1862,340,Volcán
1863,340,Potrero Grande
1864,340,Boruca
1865,340,Pilas
1866,340,Colinas
1867,340,Chánguena
1868,340,Biolley
1869,340,Brunka
1870,341,Corredor
1871,341,La Cuesta
1872,341,Canoas
1873,341,Laurel
1874,342,San Vito
1875,342,Sabalito
1876,342,Aguabuena
1877,342,Limoncito
1878,342,Pittier
1879,343,Espíritu Santo
1880,343,San Juan Grande
1881,343,Macacona
1882,343,San Rafael
1883,343,San Jerónimo
1884,344,Jaco
1885,344,Tarcoles
1886,345,Golfito
1887,345,Jiménez
1888,345,Guaycara
1889,345,Pavon
1890,346,Miramar
1891,346,Unión
1892,346,San Isidro
1893,347,Parrita
1894,348,Puntarenas
1895,348,Pitahaya
1896,348,Chomes
1897,348,Lepanto
1898,348,Paquera
1899,348,Manzanillo
1900,348,Guacimal
1901,348,Barranca
1902,348,Monte Verde
1903,348,Isla Del Coco
1904,348,Cobano
1905,348,Chacarita
1906,348,Chira
1907,348,Acapulco
1908,348,El Roble
1909,348,Arancibia
1910,349,Cortés
